"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","AT","Austria",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","AT","Austria",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","AT","Austria",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","AT","Austria",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","BE","Belgium",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","BE","Belgium",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","BE","Belgium",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","BE","Belgium",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","DE","Germany",1,"0-4",0.000000000
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","DE","Germany",2,"5-18",0.000000000
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","DE","Germany",3,"19-64",9.302325581
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","DE","Germany",4,"65+",5.970149254
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","DK","Denmark",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","DK","Denmark",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","DK","Denmark",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","DK","Denmark",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","EE","Estonia",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","EE","Estonia",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","EE","Estonia",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","EE","Estonia",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","EL","Greece",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","EL","Greece",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","EL","Greece",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","EL","Greece",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","ES","Spain",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","ES","Spain",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","ES","Spain",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","ES","Spain",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","FI","Finland",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","FI","Finland",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Aminoglycosides","R - resistant isolates proportion, by age","%","2000","FI","Finland",3,"19-64",-
