"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","AT","Austria",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","AT","Austria",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","AT","Austria",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","AT","Austria",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","BE","Belgium",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","BE","Belgium",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","BE","Belgium",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","BE","Belgium",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","DE","Germany",1,"0-4",0.000000000
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","DE","Germany",2,"5-18",0.000000000
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","DE","Germany",3,"19-64",2.325581395
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","DE","Germany",4,"65+",9.701492537
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","DK","Denmark",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","DK","Denmark",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","DK","Denmark",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","DK","Denmark",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","EE","Estonia",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","EE","Estonia",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","EE","Estonia",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","EE","Estonia",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","EL","Greece",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","EL","Greece",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","EL","Greece",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","EL","Greece",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","ES","Spain",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","ES","Spain",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","ES","Spain",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","ES","Spain",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","FI","Finland",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","FI","Finland",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","FI","Finland",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","FI","Finland",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IE","Ireland",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IE","Ireland",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IE","Ireland",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IE","Ireland",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IS","Iceland",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IS","Iceland",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IS","Iceland",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IS","Iceland",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IT","Italy",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IT","Italy",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IT","Italy",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","IT","Italy",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","LU","Luxembourg",1,"0-4",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","LU","Luxembourg",2,"5-18",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","LU","Luxembourg",3,"19-64",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","LU","Luxembourg",4,"65+",-
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","NL","Netherlands",1,"0-4",3.571428571
"Antimicrobial resistance","Escherichia coli|Fluoroquinolones","R - resistant isolates proportion, by age","%","2000","NL","Netherlands",2,"5-18",0.000000000
