"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","AT","Austria",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","AT","Austria",2,"5-18",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","AT","Austria",3,"19-64",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","AT","Austria",4,"65+",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","BE","Belgium",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","BE","Belgium",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","BE","Belgium",3,"19-64",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","BE","Belgium",4,"65+",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",1,"0-4",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",2,"5-18",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",3,"19-64",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",4,"65+",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",3,"19-64",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",4,"65+",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",1,"0-4",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",3,"19-64",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",4,"65+",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","DE","Germany",1,"0-4",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","DE","Germany",2,"5-18",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","DE","Germany",3,"19-64",3.921568627
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","DE","Germany",4,"65+",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","DK","Denmark",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","DK","Denmark",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","DK","Denmark",3,"19-64",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","DK","Denmark",4,"65+",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","EE","Estonia",1,"0-4",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","EE","Estonia",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","EE","Estonia",3,"19-64",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","R - resistant isolates proportion, by age","%","2005","EE","Estonia",4,"65+",0.000000000
