"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","AT","Austria",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","AT","Austria",2,"5-18",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","AT","Austria",3,"19-64",10.869565217
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","AT","Austria",4,"65+",12.195121951
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","BE","Belgium",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","BE","Belgium",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","BE","Belgium",3,"19-64",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","BE","Belgium",4,"65+",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",1,"0-4",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",2,"5-18",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",3,"19-64",25.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",4,"65+",36.363636364
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",3,"19-64",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",4,"65+",-
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",1,"0-4",19.230769231
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",2,"5-18",40.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",3,"19-64",43.203883495
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",4,"65+",35.684647303
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","DE","Germany",1,"0-4",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","R - resistant isolates proportion, by age","%","2005","DE","Germany",2,"5-18",0.000000000
