"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","AT","Austria",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","AT","Austria",2,"5-18",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","AT","Austria",3,"19-64",6.666666667
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","AT","Austria",4,"65+",4.761904762
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","BE","Belgium",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","BE","Belgium",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","BE","Belgium",3,"19-64",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","BE","Belgium",4,"65+",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",1,"0-4",50.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",2,"5-18",100.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",3,"19-64",60.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",4,"65+",27.272727273
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",3,"19-64",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",4,"65+",-
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",1,"0-4",34.615384615
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",2,"5-18",20.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",3,"19-64",34.951456311
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","CZ","Czechia",4,"65+",30.290456432
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","DE","Germany",1,"0-4",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","DE","Germany",2,"5-18",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","DE","Germany",3,"19-64",11.538461538
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","DE","Germany",4,"65+",2.083333333
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","R - resistant isolates proportion, by age","%","2005","DK","Denmark",1,"0-4",-
