"HealthTopic","Population","Distribution","Unit","Time","RegionCode","RegionName","CategoryIndex","Category","Value"
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","AT","Austria",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","AT","Austria",2,"5-18",0.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","AT","Austria",3,"19-64",4.347826087
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","AT","Austria",4,"65+",2.380952381
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","BE","Belgium",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","BE","Belgium",2,"5-18",-
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","BE","Belgium",3,"19-64",-
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","BE","Belgium",4,"65+",-
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",1,"0-4",100.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",2,"5-18",100.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",3,"19-64",60.000000000
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","BG","Bulgaria",4,"65+",27.272727273
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",1,"0-4",-
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","R - resistant isolates proportion, by age","%","2005","CY","Cyprus",2,"5-18",-
